iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
97,0.48655802,[1.        0.9943623],0.9452138,[1.        0.9943623],2.2431796,,6.812787,,20047.615,[1.         0.50243706],38763.22,[1.         0.50243706],68432.78,,193474.61,
98,0.48749444,[1.         0.99769735],0.9444741,[1.         0.99769735],2.24108,,6.8104305,,19932.943,[1.        0.5029025],38556.215,[1.        0.5029025],68008.69,,192483.89,
99,0.4892863,[0.9977034  0.99999994],0.945667,[0.9977034  0.99999994],2.237271,,6.8055053,,19767.857,[1.        0.5034238],38263.73,[1.        0.5034238],67482.21,,191083.6,
100,0.49094787,[0.9949823  0.99999994],0.9500711,[0.9949823  0.99999994],2.2353435,,6.805321,,20149.725,[1.        0.5010774],38734.75,[1.        0.5010774],68049.91,,191799.19,
101,0.4938735,[0.9924353 1.       ],0.9574065,[0.9924353 1.       ],2.2299895,,6.796465,,20033.16,[1.         0.50086313],38531.992,[1.         0.50086313],67633.16,,190829.2,
102,0.49739602,[0.9906115 1.       ],0.9686263,[0.9906115 1.       ],2.2234545,,6.788999,,20178.102,[1.         0.49763712],39104.246,[1.         0.49763712],67689.04,,191346.73,
103,0.48853287,[0.98263425 1.        ],0.9667998,[0.98263425 1.        ],2.194862,,6.7062798,,20089.121,[1.         0.49503222],38951.45,[1.         0.49503222],67425.36,,190985.75,
104,0.4861061,[0.9874803 1.       ],0.9810927,[0.9874803 1.       ],2.2028134,,6.721445,,19963.072,[1.         0.49481314],38740.6,[1.         0.49481314],67208.65,,190295.4,
105,0.48622814,[0.9868763 1.       ],0.9804927,[0.9868763 1.       ],2.1980884,,6.709076,,19791.016,[1.         0.49511483],38442.09,[1.         0.49511483],66742.38,,189146.33,
106,0.4862284,[0.9866879 1.       ],0.98033625,[0.9866879 1.       ],2.1973114,,6.7070236,,19551.756,[1.        0.4968155],38014.47,[1.        0.4968155],66135.516,,187510.81,
107,0.4862122,[0.98670906 1.        ],0.9803113,[0.98670906 1.        ],2.1977339,,6.7078657,,19943.346,[1.         0.49073398],38525.95,[1.         0.49073398],66673.32,,188222.52,
108,0.48621354,[0.98655134 1.        ],0.98024535,[0.98655134 1.        ],2.1977425,,6.7076693,,20053.896,[1.        0.4846266],39013.453,[1.        0.4846266],66579.7,,188688.3,
109,0.48620793,[0.9863659 1.0000001],0.98022974,[0.9863659 1.0000001],2.1986573,,6.709594,,19974.549,[0.99999994 0.48430538],38873.785,[0.99999994 0.48430538],66145.6,,187359.3,
110,0.48668712,[0.9860296 1.       ],0.9805637,[0.9860296 1.       ],2.197741,,6.7059827,,19866.76,[1.        0.4847886],38679.395,[1.        0.4847886],66133.9,,187359.12,
111,0.48788178,[0.9859078 1.       ],0.98198843,[0.9859078 1.       ],2.1972911,,6.703208,,19707.062,[1.         0.48535433],38404.68,[1.         0.48535433],66246.47,,188100.88,
112,0.48966333,[0.98622304 1.        ],0.9850496,[0.98622304 1.        ],2.1990316,,6.7039375,,19488.102,[1.         0.48697522],38005.61,[1.         0.48697522],66033.36,,187910.5,
113,0.4913582,[0.9877126 1.       ],0.9872672,[0.9877126 1.       ],2.2028809,,6.7058153,,19945.86,[1.         0.48169175],38590.613,[1.         0.48169175],66559.16,,188298.19,
114,0.49429002,[0.9905406 1.       ],0.9906089,[0.9905406 1.       ],2.20266,,6.6925354,,20007.678,[1.         0.47398666],39036.74,[1.         0.47398666],66789.63,,189425.97,
115,0.49522206,[0.9914233 1.       ],0.9841501,[0.9914233 1.       ],2.1945465,,6.6617665,,19932.08,[1.         0.47396636],38930.08,[1.         0.47396636],66721.13,,189584.02,
116,0.49930876,[1.         0.99430573],0.99335843,[1.         0.99430573],2.232679,,6.755338,,19834.2,[1.         0.47419623],38767.086,[1.         0.47419623],66395.17,,188857.97,
117,0.49772397,[1.         0.99080646],0.98578894,[1.         0.99080646],2.2771027,,6.865245,,19697.19,[1.         0.47473928],38528.97,[1.         0.47473928],65783.67,,187233.14,
118,0.49582693,[0.9894903 1.       ],0.9667271,[0.9894903 1.       ],2.283555,,6.8753977,,19499.586,[1.         0.47502053],38195.805,[1.         0.47502053],65132.63,,185762.69,
119,0.49376526,[1.        0.9931493],0.9375712,[1.        0.9931493],2.2669935,,6.761802,,19903.309,[1.        0.4696352],38713.723,[1.        0.4696352],65774.56,,186830.83,
120,0.49843213,[0.98408186 1.        ],0.91751397,[0.98408186 1.        ],2.2753248,,6.766141,,19780.35,[1.         0.46942118],38528.062,[1.         0.46942118],65314.68,,185952.98,
121,0.49261248,[1.         0.99873656],0.89441144,[1.         0.99873656],2.2547867,,6.6588955,,19940.814,[1.         0.46068233],39135.535,[1.         0.46068233],65323.316,,186718.11,
122,0.5001413,[1.         0.99932027],0.89037716,[1.         0.99932027],2.2451415,,6.5708737,,19849.496,[1.        0.4592883],39028.203,[1.        0.4592883],65024.758,,186374.58,
123,0.5000006,[1.         0.99972993],0.8716687,[1.         0.99972993],2.209941,,6.37269,,19750.459,[1.        0.4577203],38918.453,[1.        0.4577203],64917.08,,186493.42,
124,0.529752,[1.         0.95927465],0.896716,[1.         0.95927465],2.2182279,,6.2200747,,19632.252,[1.        0.4581264],38751.55,[1.        0.4581264],64546.414,,185291.33,
125,0.49991682,[0.99676543 1.        ],0.8725216,[0.99676543 1.        ],2.1816764,,6.2624035,,19524.307,[1.         0.45925424],38575.215,[1.         0.45925424],65278.008,,187919.7,
126,0.5000107,[0.98391527 1.        ],0.8822595,[0.98391527 1.        ],2.1656322,,6.213076,,19386.2,[1.        0.4610333],38329.934,[1.        0.4610333],65364.688,,188485.84,
127,0.50015134,[0.98593426 1.        ],0.8878061,[0.98593426 1.        ],2.1700444,,6.228324,,19829.023,[1.         0.45592883],38996.29,[1.         0.45592883],66432.76,,190825.78,
128,0.51335263,[0.99999994 0.9976852 ],0.89676243,[0.99999994 0.9976852 ],2.2330751,,6.37744,,19806.787,[0.99999994 0.45546868],38995.008,[0.99999994 0.45546868],66409.83,,190828.77,
129,0.5153981,[1.        0.9950997],0.9032328,[1.        0.9950997],2.304129,,6.6143045,,19792.158,[1.         0.45530695],38978.57,[1.         0.45530695],66491.39,,191165.94,
130,0.51029444,[1.        0.9998505],0.903711,[1.        0.9998505],2.4283872,,7.0594497,,19766.416,[1.         0.45561063],38943.105,[1.         0.45561063],66445.305,,191101.39,
131,0.5060946,[0.9971153  0.99999994],0.9004096,[0.9971153  0.99999994],2.4823184,,7.250397,,19746.254,[0.99999994 0.45592234],38895.57,[0.99999994 0.45592234],66371.31,,190913.75,
132,0.5033296,[1.        0.9980387],0.8947763,[1.        0.9980387],2.5835414,,7.557573,,19657.57,[1.       0.456516],38767.066,[1.       0.456516],66217.65,,190785.88,
133,0.5040777,[1.         0.99663955],0.89669794,[1.         0.99663955],2.6242986,,7.687011,,19976.006,[1.         0.45210087],39480.105,[1.         0.45210087],66612.02,,191698.98,
134,0.50576115,[1.        0.9941164],0.89775205,[1.        0.9941164],2.6569245,,7.7768846,,19944.156,[1.         0.44923747],39428.664,[1.         0.44923747],66495.41,,191443.02,
135,0.51383734,[1.        0.9894403],0.9094736,[1.        0.9894403],2.7198195,,7.9534154,,19936.512,[0.99999994 0.4493048 ],39418.086,[0.99999994 0.4493048 ],66518.836,,191511.97,
